Unnamed: 0,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
96,D. Alli,21,https://cdn.sofifa.org/48/18/players/211117.png,England,https://cdn.sofifa.org/flags/14.png,84,90,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€43M,€115K,2122,77,84,74,62,85,86,68,71,83,84,53,7,6,9,11,8,75,67,69,76,79,60,68,86,85,83,77,57,76,89,63,71,83,76,83.0,69.0,75.0,83.0,81.0,211117,83.0,72.0,69.0,81.0,75.0,83.0,81.0,81.0,81.0,73.0,LM CF CAM ,83.0,72.0,69.0,81.0,75.0,83.0,81.0,81.0,81.0,73.0,81.0
97,S. Mané,25,https://cdn.sofifa.org/48/18/players/208722.png,Senegal,https://cdn.sofifa.org/flags/136.png,84,87,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€39M,€175K,2046,94,73,89,85,84,78,72,74,86,83,64,10,10,15,7,14,53,31,75,71,69,33,71,84,80,77,77,38,92,82,35,72,78,68,81.0,51.0,60.0,82.0,74.0,208722,81.0,60.0,51.0,74.0,60.0,82.0,82.0,79.0,83.0,63.0,LW RW ,81.0,60.0,51.0,74.0,60.0,82.0,82.0,79.0,83.0,63.0,79.0
98,Carvajal,25,https://cdn.sofifa.org/48/18/players/204963.png,Spain,https://cdn.sofifa.org/flags/45.png,84,87,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€32M,€195K,2039,76,81,82,79,83,74,83,72,76,41,47,13,13,15,9,15,65,82,76,71,36,85,45,61,81,81,64,86,86,84,85,75,57,34,70.0,81.0,80.0,69.0,73.0,204963,70.0,83.0,81.0,73.0,80.0,69.0,75.0,65.0,72.0,83.0,RB ,70.0,83.0,81.0,73.0,80.0,69.0,75.0,65.0,72.0,83.0,65.0
99,J. Draxler,23,https://cdn.sofifa.org/48/18/players/202166.png,Germany,https://cdn.sofifa.org/flags/21.png,84,87,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€39.5M,€120K,2017,76,48,81,75,87,81,83,78,88,78,75,11,13,5,13,8,65,36,76,77,81,25,63,79,83,84,86,26,79,68,35,67,84,84,83.0,49.0,59.0,83.0,77.0,202166,83.0,57.0,49.0,77.0,59.0,83.0,82.0,80.0,83.0,62.0,LM CAM LW ,83.0,57.0,49.0,77.0,59.0,83.0,82.0,80.0,83.0,62.0,80.0
100,M. Icardi,24,https://cdn.sofifa.org/48/18/players/201399.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,89,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€42M,€105K,1866,75,55,74,76,77,82,46,58,74,89,45,13,9,5,7,9,84,22,92,54,70,17,78,89,83,73,81,21,80,70,21,74,64,81,75.0,46.0,50.0,79.0,67.0,201399,75.0,49.0,46.0,67.0,50.0,79.0,73.0,82.0,75.0,51.0,ST ,75.0,49.0,46.0,67.0,50.0,79.0,73.0,82.0,75.0,51.0,82.0
101,Morata,24,https://cdn.sofifa.org/48/18/players/201153.png,Spain,https://cdn.sofifa.org/flags/45.png,84,88,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€41M,€170K,1862,78,54,62,56,84,79,73,76,83,82,44,4,5,4,4,5,79,24,79,51,78,14,72,83,81,78,80,20,86,70,14,82,76,81,79.0,45.0,51.0,81.0,70.0,201153,79.0,51.0,45.0,70.0,51.0,81.0,78.0,82.0,80.0,56.0,ST ,79.0,51.0,45.0,70.0,51.0,81.0,78.0,82.0,80.0,56.0,82.0
102,K. Koulibaly,26,https://cdn.sofifa.org/48/18/players/201024.png,Senegal,https://cdn.sofifa.org/flags/136.png,84,87,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€32.5M,€96K,1610,69,87,50,40,59,78,30,28,54,19,28,7,11,7,13,5,79,86,77,48,15,85,33,24,80,59,55,85,76,73,87,93,34,14,48.0,83.0,73.0,49.0,55.0,201024,48.0,74.0,83.0,55.0,73.0,49.0,52.0,51.0,48.0,70.0,CB ,48.0,74.0,83.0,55.0,73.0,49.0,52.0,51.0,48.0,70.0,51.0
103,T. Horn,24,https://cdn.sofifa.org/48/18/players/200316.png,Germany,https://cdn.sofifa.org/flags/21.png,84,90,1. FC Köln,https://cdn.sofifa.org/24/18/teams/31.png,€31M,€39K,1260,45,41,50,31,22,20,19,12,20,13,15,83,81,83,82,86,14,22,64,32,17,11,21,15,81,35,22,12,51,31,13,67,55,14,,,,,,200316,,,,,,,,,,,GK ,,,,,,,,,,,
104,Koke,25,https://cdn.sofifa.org/48/18/players/193747.png,Spain,https://cdn.sofifa.org/flags/45.png,84,88,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€39.5M,€84K,2129,72,71,77,78,86,75,84,85,80,71,76,14,12,5,10,13,61,64,61,85,81,63,59,80,84,86,84,51,69,81,66,75,89,56,82.0,67.0,75.0,80.0,82.0,193747,82.0,71.0,67.0,82.0,75.0,80.0,81.0,77.0,80.0,74.0,LM RM CM ,82.0,71.0,67.0,82.0,75.0,80.0,81.0,77.0,80.0,74.0,77.0
105,K. Manolas,26,https://cdn.sofifa.org/48/18/players/192774.png,Greece,https://cdn.sofifa.org/flags/22.png,84,86,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€31.5M,€96K,1638,78,86,68,60,65,75,27,30,54,10,10,8,6,8,15,12,80,85,86,61,12,88,26,25,81,60,43,87,81,78,86,84,22,16,49.0,83.0,74.0,48.0,56.0,192774,49.0,76.0,83.0,56.0,74.0,48.0,53.0,49.0,49.0,72.0,CB ,49.0,76.0,83.0,56.0,74.0,48.0,53.0,49.0,49.0,72.0,49.0
106,S. Mustafi,25,https://cdn.sofifa.org/48/18/players/192227.png,Germany,https://cdn.sofifa.org/flags/21.png,84,86,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€31.5M,€145K,1942,64,79,66,69,70,74,50,55,53,58,47,11,9,15,10,6,81,85,84,69,52,82,54,50,82,77,66,85,69,74,83,81,55,51,64.0,82.0,78.0,63.0,68.0,192227,64.0,76.0,82.0,68.0,78.0,63.0,63.0,65.0,62.0,74.0,CB ,64.0,76.0,82.0,68.0,78.0,63.0,63.0,65.0,62.0,74.0,65.0
107,Ander Herrera,27,https://cdn.sofifa.org/48/18/players/191740.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€32M,€190K,2213,76,86,84,82,86,84,74,80,81,71,65,9,12,15,9,8,60,86,63,80,72,80,79,78,85,86,72,76,70,87,78,70,84,69,81.0,78.0,83.0,79.0,83.0,191740,81.0,80.0,78.0,83.0,83.0,79.0,80.0,75.0,79.0,81.0,CDM CM ,81.0,80.0,78.0,83.0,83.0,79.0,80.0,75.0,79.0,81.0,75.0
108,K. Strootman,27,https://cdn.sofifa.org/48/18/players/189712.png,Netherlands,https://cdn.sofifa.org/flags/34.png,84,85,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€35M,€105K,2165,65,86,65,68,85,85,74,75,76,68,74,7,12,11,6,7,68,84,53,83,78,72,77,78,84,86,85,75,68,82,83,83,84,63,80.0,79.0,83.0,78.0,83.0,189712,80.0,78.0,79.0,83.0,83.0,78.0,78.0,76.0,77.0,79.0,CDM CM ,80.0,78.0,79.0,83.0,83.0,78.0,78.0,76.0,77.0,79.0,76.0
109,Pedro,29,https://cdn.sofifa.org/48/18/players/189505.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€30.5M,€200K,1987,84,56,84,82,87,78,78,81,84,81,57,5,11,12,15,9,55,49,67,70,78,30,66,84,84,83,71,31,80,78,32,56,77,70,82.0,50.0,61.0,82.0,77.0,189505,82.0,60.0,50.0,77.0,61.0,82.0,82.0,77.0,83.0,65.0,LW RW ,82.0,60.0,50.0,77.0,61.0,82.0,82.0,77.0,83.0,65.0,77.0
110,R. Bürki,26,https://cdn.sofifa.org/48/18/players/189117.png,Switzerland,https://cdn.sofifa.org/flags/47.png,84,86,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€26M,€69K,1257,44,35,51,52,23,58,15,13,16,8,12,84,82,73,80,85,17,18,74,24,14,14,20,10,80,37,22,16,52,36,13,74,50,13,,,,,,189117,,,,,,,,,,,GK ,,,,,,,,,,,
111,Bruno,33,https://cdn.sofifa.org/48/18/players/184120.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,€18.5M,€59K,2059,42,79,53,59,83,86,60,72,75,66,77,13,10,9,11,8,61,85,66,86,81,70,75,69,84,87,84,85,41,76,84,77,83,48,76.0,78.0,82.0,74.0,82.0,184120,76.0,74.0,78.0,82.0,82.0,74.0,72.0,71.0,71.0,75.0,CDM CM ,76.0,74.0,78.0,82.0,82.0,74.0,72.0,71.0,71.0,75.0,71.0
112,I. Perišić,28,https://cdn.sofifa.org/48/18/players/181458.png,Croatia,https://cdn.sofifa.org/flags/10.png,84,84,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€31.5M,€110K,2078,81,59,78,67,83,80,84,73,83,79,76,6,7,10,9,6,78,42,82,72,80,26,76,84,80,78,83,45,87,86,45,75,78,80,80.0,56.0,62.0,81.0,76.0,181458,80.0,64.0,56.0,76.0,62.0,81.0,82.0,81.0,82.0,67.0,CAM LM ,80.0,64.0,56.0,76.0,62.0,81.0,82.0,81.0,82.0,67.0,81.0
113,E. Džeko,31,https://cdn.sofifa.org/48/18/players/180930.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,84,84,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€28M,€115K,1861,67,51,57,36,80,79,63,65,76,87,54,9,11,13,15,15,84,50,66,72,73,11,67,89,83,77,86,16,61,70,28,82,70,77,77.0,49.0,57.0,79.0,73.0,180930,77.0,52.0,49.0,73.0,57.0,79.0,75.0,82.0,76.0,55.0,ST ,77.0,52.0,49.0,73.0,57.0,79.0,75.0,82.0,76.0,55.0,82.0
114,Willian,28,https://cdn.sofifa.org/48/18/players/180403.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€31.5M,€200K,2061,91,44,89,81,86,79,77,82,87,77,85,14,12,13,7,13,29,55,46,77,81,43,70,80,83,82,71,51,86,87,58,62,83,59,83.0,55.0,68.0,82.0,80.0,180403,83.0,68.0,55.0,80.0,68.0,82.0,83.0,74.0,83.0,72.0,CAM RM RW ,83.0,68.0,55.0,80.0,68.0,82.0,83.0,74.0,83.0,72.0,74.0
115,S. Khedira,30,https://cdn.sofifa.org/48/18/players/179846.png,Germany,https://cdn.sofifa.org/flags/21.png,84,84,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€29M,€160K,2157,60,82,59,52,81,84,72,68,78,69,68,11,9,5,15,8,76,86,68,81,78,76,69,80,86,85,82,78,68,78,82,89,82,76,79.0,81.0,82.0,78.0,82.0,179846,79.0,78.0,81.0,82.0,82.0,78.0,77.0,77.0,76.0,79.0,CDM CM ,79.0,78.0,81.0,82.0,82.0,78.0,77.0,77.0,76.0,79.0,77.0
116,R. Fährmann,28,https://cdn.sofifa.org/48/18/players/179783.png,Germany,https://cdn.sofifa.org/flags/21.png,84,85,FC Schalke 04,https://cdn.sofifa.org/24/18/teams/34.png,€25M,€54K,1190,38,36,39,36,24,61,14,18,15,11,11,83,86,52,85,87,15,23,72,26,9,12,21,11,84,25,24,10,47,32,12,79,42,11,,,,,,179783,,,,,,,,,,,GK ,,,,,,,,,,,
117,Sergio Asenjo,28,https://cdn.sofifa.org/48/18/players/178750.png,Spain,https://cdn.sofifa.org/flags/45.png,84,85,Villarreal CF,https://cdn.sofifa.org/24/18/teams/483.png,€25M,€46K,1341,59,20,62,58,14,39,24,23,15,14,22,86,83,76,82,85,13,22,73,39,23,12,15,12,79,39,24,14,54,43,15,73,46,22,,,,,,178750,,,,,,,,,,,GK ,,,,,,,,,,,
118,Juan Mata,29,https://cdn.sofifa.org/48/18/players/178088.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€30.5M,€195K,1982,71,52,85,89,87,85,84,84,82,79,84,9,10,14,5,8,59,39,72,77,70,25,81,83,84,86,75,21,63,75,28,43,87,71,82.0,45.0,59.0,81.0,78.0,178088,82.0,55.0,45.0,78.0,59.0,81.0,81.0,76.0,81.0,61.0,RM CAM ,82.0,55.0,45.0,78.0,59.0,81.0,81.0,76.0,81.0,61.0,76.0
119,M. Benatia,30,https://cdn.sofifa.org/48/18/players/177509.png,Morocco,https://cdn.sofifa.org/flags/129.png,84,84,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€23M,€145K,1764,72,82,59,51,65,78,45,34,64,45,27,7,4,8,7,11,80,84,82,65,24,86,41,38,78,65,59,84,76,68,86,89,47,31,58.0,82.0,75.0,58.0,62.0,177509,58.0,75.0,82.0,62.0,75.0,58.0,60.0,60.0,58.0,72.0,CB ,58.0,75.0,82.0,62.0,75.0,58.0,60.0,60.0,58.0,72.0,60.0
120,D. Payet,30,https://cdn.sofifa.org/48/18/players/177388.png,France,https://cdn.sofifa.org/flags/18.png,84,84,Olympique de Marseille,https://cdn.sofifa.org/24/18/teams/219.png,€29.5M,€60K,2076,79,57,79,81,90,86,86,90,89,76,91,11,15,9,14,12,59,37,48,84,83,29,76,79,76,86,78,39,72,73,36,76,87,79,84.0,51.0,63.0,82.0,79.0,177388,84.0,60.0,51.0,79.0,63.0,82.0,83.0,78.0,83.0,64.0,CAM LW ,84.0,60.0,51.0,79.0,63.0,82.0,83.0,78.0,83.0,64.0,78.0
121,Falcao,31,https://cdn.sofifa.org/48/18/players/167397.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,84,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€28M,€68K,2010,73,75,85,75,82,87,55,83,74,87,71,10,13,6,9,5,90,41,92,58,80,16,84,85,82,78,79,19,66,68,42,75,68,84,77.0,54.0,57.0,79.0,71.0,167397,77.0,54.0,54.0,71.0,57.0,79.0,74.0,82.0,76.0,56.0,ST ,77.0,54.0,54.0,71.0,57.0,79.0,74.0,82.0,76.0,56.0,82.0
122,L. Koscielny,31,https://cdn.sofifa.org/48/18/players/165229.png,France,https://cdn.sofifa.org/flags/18.png,84,84,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€21M,€150K,1866,74,88,68,62,67,75,52,22,62,32,49,13,11,9,11,7,81,86,82,69,47,83,51,39,82,76,54,84,76,75,87,76,56,35,62.0,82.0,78.0,60.0,67.0,165229,62.0,78.0,82.0,67.0,78.0,60.0,63.0,58.0,60.0,76.0,CB ,62.0,78.0,82.0,67.0,78.0,60.0,63.0,58.0,60.0,76.0,58.0
123,G. Cahill,31,https://cdn.sofifa.org/48/18/players/164468.png,England,https://cdn.sofifa.org/flags/14.png,84,84,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€21M,€160K,1839,62,84,62,51,63,75,28,48,58,56,27,5,12,9,5,12,86,83,82,61,66,84,53,45,85,65,63,84,63,69,85,80,56,47,61.0,82.0,75.0,61.0,65.0,164468,61.0,73.0,82.0,65.0,75.0,61.0,58.0,64.0,58.0,69.0,CB ,61.0,73.0,82.0,65.0,75.0,61.0,58.0,64.0,58.0,69.0,64.0
124,Dani Alves,34,https://cdn.sofifa.org/48/18/players/146530.png,Brazil,https://cdn.sofifa.org/flags/54.png,84,84,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€9M,€115K,2208,79,78,85,87,86,82,86,80,84,55,74,5,11,9,6,7,72,81,80,77,78,73,70,74,79,83,86,83,84,76,79,55,78,68,79.0,76.0,79.0,78.0,80.0,146530,79.0,81.0,76.0,80.0,79.0,78.0,80.0,74.0,79.0,81.0,RB ,79.0,81.0,76.0,80.0,79.0,78.0,80.0,74.0,79.0,81.0,74.0
125,A. Gómez,29,https://cdn.sofifa.org/48/18/players/143076.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,84,Atalanta,https://cdn.sofifa.org/24/18/teams/39.png,€31M,€60K,2013,94,56,92,94,87,84,82,78,89,78,71,8,11,12,9,6,36,40,70,72,78,24,71,81,83,82,76,34,86,78,30,48,85,72,84.0,45.0,59.0,83.0,77.0,143076,84.0,59.0,45.0,77.0,59.0,83.0,84.0,76.0,85.0,65.0,ST LW CF ,84.0,59.0,45.0,77.0,59.0,83.0,84.0,76.0,85.0,65.0,76.0
126,Aduriz,36,https://cdn.sofifa.org/48/18/players/106231.png,Spain,https://cdn.sofifa.org/flags/45.png,84,84,Athletic Club de Bilbao,https://cdn.sofifa.org/24/18/teams/448.png,€11M,€38K,1987,69,82,53,57,80,87,54,61,79,85,54,14,10,9,15,9,94,23,94,52,80,46,75,86,85,71,83,49,70,64,44,83,73,84,76.0,60.0,58.0,80.0,69.0,106231,76.0,58.0,60.0,69.0,58.0,80.0,73.0,83.0,75.0,58.0,ST ,76.0,58.0,60.0,69.0,58.0,80.0,73.0,83.0,75.0,58.0,83.0
127,K. Mbappé,18,https://cdn.sofifa.org/48/18/players/231747.png,France,https://cdn.sofifa.org/flags/18.png,83,94,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€41.5M,€31K,2050,89,62,78,76,87,80,70,75,86,87,58,13,5,7,11,6,76,49,71,68,68,41,70,79,79,78,79,40,90,83,44,74,77,74,81.0,58.0,64.0,82.0,75.0,231747,81.0,64.0,58.0,75.0,64.0,82.0,81.0,82.0,82.0,67.0,ST ,81.0,64.0,58.0,75.0,64.0,82.0,81.0,82.0,82.0,67.0,82.0
128,O. Dembélé,20,https://cdn.sofifa.org/48/18/players/231443.png,France,https://cdn.sofifa.org/flags/18.png,83,92,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€40M,€150K,1969,93,54,90,85,85,73,77,78,92,77,65,6,6,14,10,13,43,36,59,68,65,29,75,78,82,74,82,33,89,74,30,47,84,76,82.0,45.0,57.0,82.0,74.0,231443,82.0,58.0,45.0,74.0,57.0,82.0,82.0,76.0,83.0,63.0,CAM LW RW ,82.0,58.0,45.0,74.0,57.0,82.0,82.0,76.0,83.0,63.0,76.0
129,N. Keïta,22,https://cdn.sofifa.org/48/18/players/220971.png,Guinea,https://cdn.sofifa.org/flags/118.png,83,88,RB Leipzig,https://cdn.sofifa.org/24/18/teams/112172.png,€34M,€68K,2055,82,77,90,90,88,79,62,63,90,74,47,7,14,15,14,9,42,79,56,78,66,55,58,74,84,88,76,61,66,88,63,59,81,59,82.0,65.0,76.0,80.0,82.0,220971,82.0,71.0,65.0,82.0,76.0,80.0,81.0,74.0,80.0,75.0,CAM CDM CM ,82.0,71.0,65.0,82.0,76.0,80.0,81.0,74.0,80.0,75.0,74.0
130,J. Giménez,22,https://cdn.sofifa.org/48/18/players/216460.png,Uruguay,https://cdn.sofifa.org/flags/60.png,83,87,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€28.5M,€53K,1760,68,89,57,50,56,73,47,36,47,37,44,9,11,7,10,15,79,85,90,58,48,85,38,24,76,68,72,87,72,68,86,84,27,30,51.0,82.0,73.0,51.0,57.0,216460,51.0,75.0,82.0,57.0,73.0,51.0,53.0,56.0,51.0,71.0,CB ,51.0,75.0,82.0,57.0,73.0,51.0,53.0,56.0,51.0,71.0,56.0
131,G. Rulli,25,https://cdn.sofifa.org/48/18/players/215316.png,Argentina,https://cdn.sofifa.org/flags/52.png,83,89,Real Sociedad,https://cdn.sofifa.org/24/18/teams/457.png,€25.5M,€28K,1284,54,26,58,50,15,30,12,19,15,15,20,85,79,75,82,86,12,21,68,23,17,16,24,12,77,32,24,17,48,42,13,73,58,16,,,,,,215316,,,,,,,,,,,GK ,,,,,,,,,,,
132,T. Lemar,21,https://cdn.sofifa.org/48/18/players/213565.png,France,https://cdn.sofifa.org/flags/18.png,83,91,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€38.5M,€37K,2171,86,63,85,84,86,79,82,81,88,78,81,11,15,13,7,14,54,66,72,71,76,63,68,76,76,82,82,63,84,79,59,69,82,75,82.0,66.0,72.0,81.0,78.0,213565,82.0,72.0,66.0,78.0,72.0,81.0,82.0,77.0,82.0,75.0,LM ,82.0,72.0,66.0,78.0,72.0,81.0,82.0,77.0,82.0,75.0,77.0
133,João Mário,24,https://cdn.sofifa.org/48/18/players/212814.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,88,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€34M,€70K,2098,71,61,81,70,85,85,77,74,84,66,67,6,15,8,8,8,55,78,63,78,73,67,66,80,82,83,77,61,75,84,75,69,82,69,80.0,70.0,77.0,79.0,81.0,212814,80.0,74.0,70.0,81.0,77.0,79.0,80.0,74.0,79.0,77.0,CAM CM ,80.0,74.0,70.0,81.0,77.0,79.0,80.0,74.0,79.0,77.0,74.0
134,N. Süle,21,https://cdn.sofifa.org/48/18/players/212190.png,Germany,https://cdn.sofifa.org/flags/21.png,83,89,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€30.5M,€78K,1630,51,81,33,32,63,72,30,28,42,20,30,15,7,14,7,15,85,82,38,61,62,81,32,26,80,76,77,82,76,65,86,94,30,29,51.0,81.0,75.0,52.0,60.0,212190,51.0,73.0,81.0,60.0,75.0,52.0,51.0,56.0,48.0,69.0,CB ,51.0,73.0,81.0,60.0,75.0,52.0,51.0,56.0,48.0,69.0,56.0
135,Ederson,23,https://cdn.sofifa.org/48/18/players/210257.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,89,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€26M,€87K,1320,64,35,60,40,30,58,20,12,21,14,20,81,76,82,78,87,14,25,58,30,18,9,17,16,86,15,42,8,63,38,15,68,60,18,,,,,,210257,,,,,,,,,,,GK ,,,,,,,,,,,
136,Fabinho,23,https://cdn.sofifa.org/48/18/players/209499.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,88,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€29.5M,€37K,2114,73,83,71,69,80,80,79,71,75,66,45,13,12,6,8,8,75,83,77,74,53,79,91,68,79,82,75,85,75,89,88,80,72,30,74.0,82.0,82.0,74.0,77.0,209499,74.0,82.0,82.0,77.0,82.0,74.0,76.0,72.0,74.0,82.0,CDM ,74.0,82.0,82.0,77.0,82.0,74.0,76.0,72.0,74.0,82.0,72.0
137,M. Salah,25,https://cdn.sofifa.org/48/18/players/209331.png,Egypt,https://cdn.sofifa.org/flags/111.png,83,86,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€32.5M,€135K,2032,93,63,86,84,87,75,73,70,87,79,60,14,14,9,11,14,59,55,70,65,62,37,61,83,82,79,71,41,93,77,43,61,78,71,81.0,56.0,64.0,82.0,75.0,209331,81.0,64.0,56.0,75.0,64.0,82.0,82.0,78.0,83.0,68.0,RW ,81.0,64.0,56.0,75.0,64.0,82.0,82.0,78.0,83.0,68.0,78.0
138,A. Belotti,23,https://cdn.sofifa.org/48/18/players/208596.png,Italy,https://cdn.sofifa.org/flags/27.png,83,90,Torino,https://cdn.sofifa.org/24/18/teams/54.png,€37M,€58K,1935,80,83,79,75,78,78,42,64,78,88,56,13,7,12,14,7,84,31,83,42,67,15,77,85,78,68,81,32,83,84,23,85,61,80,74.0,51.0,52.0,78.0,65.0,208596,74.0,52.0,51.0,65.0,52.0,78.0,72.0,82.0,75.0,54.0,ST ,74.0,52.0,51.0,65.0,52.0,78.0,72.0,82.0,75.0,54.0,82.0
139,E. Forsberg,25,https://cdn.sofifa.org/48/18/players/208448.png,Sweden,https://cdn.sofifa.org/flags/46.png,83,85,RB Leipzig,https://cdn.sofifa.org/24/18/teams/112172.png,€31.5M,€75K,1949,78,62,85,83,85,79,86,81,82,72,77,13,7,9,15,11,45,43,53,70,80,23,64,77,80,86,75,17,72,76,26,63,86,67,81.0,45.0,59.0,79.0,76.0,208448,81.0,55.0,45.0,76.0,59.0,79.0,81.0,74.0,81.0,61.0,LM CAM ,81.0,55.0,45.0,76.0,59.0,79.0,81.0,74.0,81.0,61.0,74.0
140,Marquinhos,23,https://cdn.sofifa.org/48/18/players/207865.png,Brazil,https://cdn.sofifa.org/flags/54.png,83,89,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€30.5M,€75K,1869,69,80,66,68,76,79,72,49,65,33,32,6,6,12,10,13,80,84,85,78,35,85,31,46,81,80,53,86,72,75,85,74,51,31,64.0,82.0,80.0,61.0,70.0,207865,64.0,80.0,82.0,70.0,80.0,61.0,67.0,60.0,63.0,79.0,CB ,64.0,80.0,82.0,70.0,80.0,61.0,67.0,60.0,63.0,79.0,60.0
141,William Carvalho,25,https://cdn.sofifa.org/48/18/players/207566.png,Portugal,https://cdn.sofifa.org/flags/38.png,83,86,Sporting CP,https://cdn.sofifa.org/24/18/teams/237.png,€27.5M,€21K,1967,52,75,45,50,78,89,66,77,79,56,50,6,6,5,14,14,73,84,68,86,58,77,60,62,74,84,59,71,53,84,85,88,78,50,72.0,79.0,81.0,69.0,79.0,207566,72.0,75.0,79.0,79.0,81.0,69.0,72.0,67.0,69.0,75.0,CM CDM ,72.0,75.0,79.0,79.0,81.0,69.0,72.0,67.0,69.0,75.0,67.0
142,S. Umtiti,23,https://cdn.sofifa.org/48/18/players/205600.png,France,https://cdn.sofifa.org/flags/18.png,83,88,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€29.5M,€135K,2109,72,80,68,66,75,74,69,72,69,51,63,15,10,14,12,15,72,86,87,73,74,80,61,58,77,79,83,83,75,79,85,78,58,70,69.0,81.0,79.0,69.0,73.0,205600,69.0,79.0,81.0,73.0,79.0,69.0,70.0,69.0,69.0,78.0,CB ,69.0,79.0,81.0,73.0,79.0,69.0,70.0,69.0,69.0,78.0,69.0
143,R. Mahrez,26,https://cdn.sofifa.org/48/18/players/204485.png,Algeria,https://cdn.sofifa.org/flags/97.png,83,84,Leicester City,https://cdn.sofifa.org/24/18/teams/95.png,€30.5M,€88K,1935,85,40,92,85,88,82,81,79,88,74,75,15,9,13,11,6,45,38,62,74,72,25,72,79,75,78,76,19,80,75,23,51,79,71,81.0,41.0,55.0,80.0,74.0,204485,81.0,54.0,41.0,74.0,55.0,80.0,81.0,74.0,82.0,60.0,RM ,81.0,54.0,41.0,74.0,55.0,80.0,81.0,74.0,82.0,60.0,74.0
144,V. van Dijk,25,https://cdn.sofifa.org/48/18/players/203376.png,Netherlands,https://cdn.sofifa.org/flags/34.png,83,86,Southampton,https://cdn.sofifa.org/24/18/teams/17.png,€27.5M,€89K,2011,69,78,57,51,73,82,53,60,70,52,70,13,10,13,11,11,80,83,79,76,64,83,62,41,79,76,81,83,76,76,85,92,59,45,66.0,82.0,79.0,66.0,71.0,203376,66.0,77.0,82.0,71.0,79.0,66.0,67.0,67.0,65.0,76.0,CB ,66.0,77.0,82.0,71.0,79.0,66.0,67.0,67.0,65.0,76.0,67.0
